m,k,n,time,GFLOPS
2000,2000,2000,0.165591,96.623635
2000,2000,2000,0.016315,980.673079
2000,2000,2000,0.015976,1001.477994
2000,2000,2000,0.015495,1032.572833
2000,2000,2000,0.016141,991.259139
2000,2000,2000,0.015592,1026.194381
2000,2000,2000,0.016829,950.733976
2000,2000,2000,0.015932,1004.294363
2000,2000,2000,0.015825,1011.070527
2000,2000,2000,0.015684,1020.150133
3000,3000,3000,0.040354,1338.169478
3000,3000,3000,0.039935,1352.180526
3000,3000,3000,0.040097,1346.736789
3000,3000,3000,0.040230,1342.273738
3000,3000,3000,0.039871,1354.368278
3000,3000,3000,0.040640,1328.752549
3000,3000,3000,0.040024,1349.202014
3000,3000,3000,0.041440,1303.101035
3000,3000,3000,0.040330,1338.946030
3000,3000,3000,0.039861,1354.697889
4000,4000,4000,0.086333,1482.623067
4000,4000,4000,0.085760,1492.541525
4000,4000,4000,0.086121,1486.287264
4000,4000,4000,0.086215,1484.663042
4000,4000,4000,0.085897,1490.156781
4000,4000,4000,0.088247,1450.468057
4000,4000,4000,0.087004,1471.204691
4000,4000,4000,0.086462,1480.420445
4000,4000,4000,0.085994,1488.468757
4000,4000,4000,0.086696,1476.430074
5000,5000,5000,0.166887,1498.020605
5000,5000,5000,0.167389,1493.526902
5000,5000,5000,0.167715,1490.623549
5000,5000,5000,0.166972,1497.254855
5000,5000,5000,0.166849,1498.362984
5000,5000,5000,0.167253,1494.745351
5000,5000,5000,0.167321,1494.135030
5000,5000,5000,0.168125,1486.989175
5000,5000,5000,0.167357,1493.814511
5000,5000,5000,0.167201,1495.201951
6000,6000,6000,0.277773,1555.226358
6000,6000,6000,0.277874,1554.663295
6000,6000,6000,0.278124,1553.266452
6000,6000,6000,0.277779,1555.194534
6000,6000,6000,0.277528,1556.601444
6000,6000,6000,0.277692,1555.679520
6000,6000,6000,0.278292,1552.325435
6000,6000,6000,0.277441,1557.085995
6000,6000,6000,0.278031,1553.784806
6000,6000,6000,0.277801,1555.068233
7000,7000,7000,0.431709,1589.032838
7000,7000,7000,0.431906,1588.308983
7000,7000,7000,0.431963,1588.098227
7000,7000,7000,0.431560,1589.581989
7000,7000,7000,0.431634,1589.309671
7000,7000,7000,0.431705,1589.049457
7000,7000,7000,0.431868,1588.448212
7000,7000,7000,0.431134,1591.152690
7000,7000,7000,0.432066,1587.719880
7000,7000,7000,0.431805,1588.681507
8000,8000,8000,0.633816,1615.612073
8000,8000,8000,0.634280,1614.428406
8000,8000,8000,0.633539,1616.317771
8000,8000,8000,0.634292,1614.398935
8000,8000,8000,0.633623,1616.104030
8000,8000,8000,0.634425,1614.059742
8000,8000,8000,0.633240,1617.080542
8000,8000,8000,0.633641,1616.055790
8000,8000,8000,0.633975,1615.204742
8000,8000,8000,0.633042,1617.587437
9000,9000,9000,0.903368,1613.960724
9000,9000,9000,0.903117,1614.408882
9000,9000,9000,0.903471,1613.776719
9000,9000,9000,0.903597,1613.550318
9000,9000,9000,0.902720,1615.119300
9000,9000,9000,0.902625,1615.288763
9000,9000,9000,0.903828,1613.139370
9000,9000,9000,0.902163,1616.115376
9000,9000,9000,0.903738,1613.299158
9000,9000,9000,0.902906,1614.785186
10000,10000,10000,1.246582,1604.386398
10000,10000,10000,1.245825,1605.362249
10000,10000,10000,1.246449,1604.558674
10000,10000,10000,1.246635,1604.319290
10000,10000,10000,1.247079,1603.747553
10000,10000,10000,1.247794,1602.828136
10000,10000,10000,1.243023,1608.980100
10000,10000,10000,1.248018,1602.541506
10000,10000,10000,1.246717,1604.213882
10000,10000,10000,1.245285,1606.058342
11000,11000,11000,1.640200,1622.972842
11000,11000,11000,1.642398,1620.800858
11000,11000,11000,1.641724,1621.466594
11000,11000,11000,1.644355,1618.871993
11000,11000,11000,1.640720,1622.458000
11000,11000,11000,1.641510,1621.677178
11000,11000,11000,1.640112,1623.059504
11000,11000,11000,1.636850,1626.294359
11000,11000,11000,1.643980,1619.241367
11000,11000,11000,1.641754,1621.436317
12000,12000,12000,2.139253,1615.517331
12000,12000,12000,2.151578,1606.263040
12000,12000,12000,2.138123,1616.370727
12000,12000,12000,2.138875,1615.802899
12000,12000,12000,2.137194,1617.073384
12000,12000,12000,2.138810,1615.851566
12000,12000,12000,2.137870,1616.562223
12000,12000,12000,2.138963,1615.736082
12000,12000,12000,2.139717,1615.166817
12000,12000,12000,2.137106,1617.140142
13000,13000,13000,2.702973,1625.617584
13000,13000,13000,2.710014,1621.393789
13000,13000,13000,2.706682,1623.389588
13000,13000,13000,2.702199,1626.083009
13000,13000,13000,2.701940,1626.239151
13000,13000,13000,2.702495,1625.905126
13000,13000,13000,2.702004,1626.200247
13000,13000,13000,2.702183,1626.092753
13000,13000,13000,2.703773,1625.136413
13000,13000,13000,2.704847,1624.491433
14000,14000,14000,3.351246,1637.600076
14000,14000,14000,3.350279,1638.072554
14000,14000,14000,3.355518,1635.514901
14000,14000,14000,3.351191,1637.626662
14000,14000,14000,3.356566,1635.004544
14000,14000,14000,3.356826,1634.877473
14000,14000,14000,3.355641,1635.454925
14000,14000,14000,3.357069,1634.759243
14000,14000,14000,3.356281,1635.143122
14000,14000,14000,3.355454,1635.546057
15000,15000,15000,4.174797,1616.845024
15000,15000,15000,4.175986,1616.384706
15000,15000,15000,4.175848,1616.438085
15000,15000,15000,4.174637,1616.906910
15000,15000,15000,4.174549,1616.941130
15000,15000,15000,4.174510,1616.956237
15000,15000,15000,4.175870,1616.429527
15000,15000,15000,4.174900,1616.805151
15000,15000,15000,4.173439,1617.371211
15000,15000,15000,4.174952,1616.784966
16000,16000,16000,5.015312,1633.397977
16000,16000,16000,5.003011,1637.414093
16000,16000,16000,5.016341,1633.062868
16000,16000,16000,5.016210,1633.105570
16000,16000,16000,5.016399,1633.043997
16000,16000,16000,5.016093,1633.143615
16000,16000,16000,5.016301,1633.075945
16000,16000,16000,5.017560,1632.666234
16000,16000,16000,5.013026,1634.142768
16000,16000,16000,5.017887,1632.559724
17000,17000,17000,6.021256,1631.885460
17000,17000,17000,6.019167,1632.451687
17000,17000,17000,6.022586,1631.525078
17000,17000,17000,6.021278,1631.879425
17000,17000,17000,6.022039,1631.673310
17000,17000,17000,6.019424,1632.382170
17000,17000,17000,6.021835,1631.728539
17000,17000,17000,6.025615,1630.704791
17000,17000,17000,6.020597,1632.063982
17000,17000,17000,6.025129,1630.836527
18000,18000,18000,7.147540,1631.890122
18000,18000,18000,7.139464,1633.736140
18000,18000,18000,7.146683,1632.085861
18000,18000,18000,7.149213,1631.508271
18000,18000,18000,7.148749,1631.614151
18000,18000,18000,7.148631,1631.641125
18000,18000,18000,7.146614,1632.101469
18000,18000,18000,7.145986,1632.245090
18000,18000,18000,7.147614,1631.873284
18000,18000,18000,7.145376,1632.384265
19000,19000,19000,8.433056,1626.693715
19000,19000,19000,8.428453,1627.582111
19000,19000,19000,8.437284,1625.878598
19000,19000,19000,8.436029,1626.120506
19000,19000,19000,8.431318,1627.029183
19000,19000,19000,8.432116,1626.875226
19000,19000,19000,8.431527,1626.988819
19000,19000,19000,8.430271,1627.231105
19000,19000,19000,8.438544,1625.635970
19000,19000,19000,8.432650,1626.772125
20000,20000,20000,9.854463,1623.629870
20000,20000,20000,9.853314,1623.819185
20000,20000,20000,9.851069,1624.189261
20000,20000,20000,9.865032,1621.890320
20000,20000,20000,9.861636,1622.448791
20000,20000,20000,9.851437,1624.128586
20000,20000,20000,9.852482,1623.956227
20000,20000,20000,9.854948,1623.549849
20000,20000,20000,9.922518,1612.493902
20000,20000,20000,9.854293,1623.657768
