m,k,n,time,GFLOPS
2000,2000,2000,0.030529,524.088122
2000,2000,2000,0.032102,498.412696
2000,2000,2000,0.030764,520.094315
2000,2000,2000,0.038281,417.958070
2000,2000,2000,0.031256,511.894181
2000,2000,2000,0.030277,528.456577
2000,2000,2000,0.030594,522.980926
2000,2000,2000,0.030269,528.586049
2000,2000,2000,0.027778,575.985377
2000,2000,2000,0.030702,521.134292
3000,3000,3000,0.086319,625.589328
3000,3000,3000,0.086686,622.937694
3000,3000,3000,0.082296,656.164495
3000,3000,3000,0.099064,545.099757
3000,3000,3000,0.085308,632.999747
3000,3000,3000,0.086186,626.549688
3000,3000,3000,0.095540,565.210561
3000,3000,3000,0.084671,637.763839
3000,3000,3000,0.082426,655.137031
3000,3000,3000,0.086448,624.656085
4000,4000,4000,0.195662,654.188943
4000,4000,4000,0.205855,621.797814
4000,4000,4000,0.195851,653.558960
4000,4000,4000,0.193557,661.304168
4000,4000,4000,0.197390,648.461085
4000,4000,4000,0.209550,610.831393
4000,4000,4000,0.197159,649.222112
4000,4000,4000,0.207868,615.776051
4000,4000,4000,0.193425,661.755240
4000,4000,4000,0.193941,659.996205
5000,5000,5000,0.367899,679.534436
5000,5000,5000,0.369020,677.469922
5000,5000,5000,0.370948,673.949107
5000,5000,5000,0.379607,658.576089
5000,5000,5000,0.369736,676.158948
5000,5000,5000,0.368051,679.253609
5000,5000,5000,0.368715,678.029709
5000,5000,5000,0.368838,677.803491
5000,5000,5000,0.370619,674.547300
5000,5000,5000,0.367595,680.096775
6000,6000,6000,0.615150,702.267211
6000,6000,6000,0.618825,698.096918
6000,6000,6000,0.629223,686.560547
6000,6000,6000,0.616742,700.455006
6000,6000,6000,0.617167,699.972894
6000,6000,6000,0.614981,702.460448
6000,6000,6000,0.615033,702.400862
6000,6000,6000,0.629024,686.778006
6000,6000,6000,0.615117,702.305841
6000,6000,6000,0.614984,702.457730
7000,7000,7000,0.961099,713.766047
7000,7000,7000,0.970482,706.864965
7000,7000,7000,0.970216,707.059156
7000,7000,7000,0.961054,713.799440
7000,7000,7000,0.956738,717.019916
7000,7000,7000,0.958807,715.472277
7000,7000,7000,0.969602,707.506604
7000,7000,7000,0.958421,715.760663
7000,7000,7000,0.969802,707.361189
7000,7000,7000,0.962494,712.731422
8000,8000,8000,1.469963,696.616371
8000,8000,8000,1.468060,697.519038
8000,8000,8000,1.460573,701.094915
8000,8000,8000,1.479681,692.041032
8000,8000,8000,1.467252,697.903074
8000,8000,8000,1.477901,692.874350
8000,8000,8000,1.479143,692.292859
8000,8000,8000,1.469108,697.021584
8000,8000,8000,1.477886,692.881386
8000,8000,8000,1.468539,697.291513
9000,9000,9000,2.048833,711.624778
9000,9000,9000,2.064170,706.337319
9000,9000,9000,2.049341,711.448238
9000,9000,9000,2.049969,711.230167
9000,9000,9000,2.053070,710.155948
9000,9000,9000,2.050513,711.041627
9000,9000,9000,2.070560,704.157293
9000,9000,9000,2.055111,709.450863
9000,9000,9000,2.050918,710.901039
9000,9000,9000,2.057753,708.539885
10000,10000,10000,2.821466,708.851280
10000,10000,10000,2.831747,706.277811
10000,10000,10000,2.837661,704.805844
10000,10000,10000,2.828138,707.179005
10000,10000,10000,2.837169,704.928098
10000,10000,10000,2.823157,708.426736
10000,10000,10000,2.828510,707.086131
10000,10000,10000,2.832488,706.092959
10000,10000,10000,2.848730,702.067326
10000,10000,10000,2.835488,705.346082
11000,11000,11000,3.724072,714.808964
11000,11000,11000,3.736170,712.494407
11000,11000,11000,3.733171,713.066768
11000,11000,11000,3.728381,713.982788
11000,11000,11000,3.723595,714.900527
11000,11000,11000,3.719993,715.592730
11000,11000,11000,3.715476,716.462694
11000,11000,11000,3.720570,715.481688
11000,11000,11000,3.725795,714.478410
11000,11000,11000,3.733899,712.927614
12000,12000,12000,5.008225,690.064837
12000,12000,12000,5.006638,690.283573
12000,12000,12000,5.010112,689.804941
12000,12000,12000,5.014247,689.236130
12000,12000,12000,5.002538,690.849298
12000,12000,12000,5.022958,688.040815
12000,12000,12000,5.011760,689.578150
12000,12000,12000,5.013304,689.365716
12000,12000,12000,5.020351,688.398089
12000,12000,12000,5.007110,690.218441
13000,13000,13000,6.158432,713.493337
13000,13000,13000,6.187866,710.099404
13000,13000,13000,6.172000,711.924872
13000,13000,13000,6.181044,710.883152
13000,13000,13000,6.174242,711.666320
13000,13000,13000,6.196251,709.138434
13000,13000,13000,6.169947,712.161737
13000,13000,13000,6.177543,711.286046
13000,13000,13000,6.172783,711.834556
13000,13000,13000,6.179421,711.069825
14000,14000,14000,7.599111,722.189729
14000,14000,14000,7.624104,719.822308
14000,14000,14000,7.595103,722.570823
14000,14000,14000,7.607596,721.384291
14000,14000,14000,7.619195,720.286028
14000,14000,14000,7.598686,722.230088
14000,14000,14000,7.603359,721.786237
14000,14000,14000,7.611793,720.986506
14000,14000,14000,7.602905,721.829361
14000,14000,14000,7.603160,721.805146
15000,15000,15000,9.449132,714.351324
15000,15000,15000,9.468260,712.908167
15000,15000,15000,9.422507,716.369888
15000,15000,15000,9.465029,713.151565
15000,15000,15000,9.429621,715.829378
15000,15000,15000,9.465455,713.119430
15000,15000,15000,9.420231,716.542938
15000,15000,15000,9.437530,715.229495
15000,15000,15000,9.431513,715.685781
15000,15000,15000,9.424573,716.212789
16000,16000,16000,11.697012,700.349812
16000,16000,16000,11.490485,712.937690
16000,16000,16000,11.691660,700.670409
16000,16000,16000,11.686634,700.971696
16000,16000,16000,11.687869,700.897664
16000,16000,16000,11.689078,700.825185
16000,16000,16000,11.691675,700.669508
16000,16000,16000,11.687799,700.901876
16000,16000,16000,11.689384,700.806821
16000,16000,16000,11.696175,700.399915
17000,17000,17000,13.874109,708.225662
17000,17000,17000,13.889892,707.420916
17000,17000,17000,13.876607,708.098190
17000,17000,17000,13.825399,710.720921
17000,17000,17000,13.827208,710.627913
17000,17000,17000,13.874369,708.212393
17000,17000,17000,13.883727,707.735025
17000,17000,17000,13.837940,710.076772
17000,17000,17000,14.064250,698.650827
17000,17000,17000,14.066290,698.549521
18000,18000,18000,16.669102,699.737763
18000,18000,18000,16.683729,699.124282
18000,18000,18000,16.686762,698.997201
18000,18000,18000,16.708423,698.091019
18000,18000,18000,16.689544,698.880695
18000,18000,18000,16.695115,698.647460
18000,18000,18000,16.671656,699.630563
18000,18000,18000,16.676562,699.424755
18000,18000,18000,16.680832,699.245678
18000,18000,18000,16.683169,699.147762
